scheme,vehicles,seed,frames,window_start,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine,condition_id,condition,condition_index
AAI-CDOS,25,2052,180,68,4500,0.9302222222222222,0.21439461489653705,0.4087729806614985,1.0526541918307801,7.250372944167027,1.1404444444444444,0.14044444444444446,6.632444444444444,0.014817488826035211,868.9937777777777,96.93777777777778,0.813903743315508,0.939843068875327,0.998426435877262,edge_congested,Edge congested,2
Single Domain,25,2052,180,68,4500,0.2931111111111111,5.164425656248099,19.88153904928867,79.9296616780505,1529.6145611512168,1.0,0.0,1.0,0.00222962233884674,0.0,0.0,0.06737967914438503,0.34655623365300786,0.3627065302911094,edge_congested,Edge congested,2
Independent Agents,25,2052,180,68,4500,0.6393333333333333,0.32128749279256635,0.5225162361647174,7.351135707710066,166.0997219700269,1.0,0.0,4.0,0.009769421918058975,0.0,0.0,0.03636363636363636,0.6865736704446382,0.997639653815893,edge_congested,Edge congested,2
One-Shot LLM,25,2052,180,68,4500,0.6135555555555555,1.3177362999341742,11.230800655928137,7.926120332431109,170.6502970379824,1.0,0.0,0.0,0.029422622206362173,760.0,135.0,0.18502673796791444,0.6687009590235397,0.8292682926829268,edge_congested,Edge congested,2
AAI-CDOS,25,2053,180,134,4500,0.9408888888888889,0.2095359263647174,0.382494463902294,0.8868952887706262,3.7670340376841542,1.1186666666666667,0.11866666666666667,6.534222222222223,0.016156400094688352,865.2915555555555,95.08666666666667,0.8301462317210349,0.9488206497552292,1.0,edge_congested,Edge congested,2
Single Domain,25,2053,180,134,4500,0.27,8.14998967166785,27.737007890334628,67.03203893954692,1199.2106733034357,1.0,0.0,1.0,0.002407955232128087,0.0,0.0,0.0798650168728909,0.30173564753004006,0.3416422287390029,edge_congested,Edge congested,2
Independent Agents,25,2053,180,134,4500,0.6697777777777778,0.3114086091077397,0.4681744260946856,6.07321977312075,124.03828320764153,1.0,0.0,4.0,0.011070533338675482,0.0,0.0,0.048368953880764905,0.715175789942145,1.0,edge_congested,Edge congested,2
One-Shot LLM,25,2053,180,134,4500,0.6426666666666667,1.2648117579803082,11.444477196944414,7.155347077414358,143.62193177563836,1.0,0.0,0.0,0.023334199491526104,760.0,135.0,0.2013498312710911,0.7040498442367601,0.8291788856304986,edge_congested,Edge congested,2
AAI-CDOS,25,2054,180,0,4500,0.8424444444444444,0.2745450302679625,0.5596437129499976,2.2913240966234274,68.55169425659228,1.3157777777777777,0.31577777777777777,7.421333333333333,0.014819866602516009,898.8004444444445,111.8411111111111,0.6970338983050848,0.8149955634427685,0.9953917050691244,edge_congested,Edge congested,2
Single Domain,25,2054,180,0,4500,0.41688888888888886,2.7051478399402913,12.067188593016748,33.81904517533202,538.3551821165976,1.0,0.0,1.0,0.0019579999692117176,0.0,0.0,0.05614406779661017,0.4702750665483585,0.5860215053763441,edge_congested,Edge congested,2
Independent Agents,25,2054,180,0,4500,0.5806666666666667,0.3556436815719936,0.6374699648746195,8.959202648224903,209.1740355547379,1.0,0.0,4.0,0.009648621845473018,0.0,0.0,0.0413135593220339,0.5665483584738243,0.9961597542242704,edge_congested,Edge congested,2
