study,value,vehicles,seed,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine
mismatch_delay,0.12,25,2038,4500,0.592,0.3281702074947398,0.4581471960601199,8.692716433200998,178.44037256384377,1.0,0.0,4.0,0.0075675036965145,0.0,0.0,0.017524644030668127,0.5804289544235925,1.0
negotiation_rounds,1.0,25,2038,4500,0.9808888888888889,0.14761630362617592,0.26684444399538815,0.35159870964022294,2.3305447269606465,1.0,0.01911111111111111,6.0,0.00963288452476263,845.1182222222222,85.0,0.9288061336254108,0.9906166219839142,1.0
negotiation_rounds,2.0,25,2038,4500,0.9826666666666667,0.14832741515319767,0.26661064992698824,0.33340163051639665,2.3305447269606465,1.0175555555555555,0.017555555555555557,6.087777777777778,0.009857070528798632,848.1026666666667,86.49222222222222,0.9375684556407448,0.9906166219839142,1.0
negotiation_rounds,3.0,25,2038,4500,0.9826666666666667,0.14832741515319767,0.26661064992698824,0.33340163051639665,2.3305447269606465,1.034888888888889,0.034888888888888886,6.157111111111111,0.00986095859358708,851.0493333333334,87.96555555555555,0.9375684556407448,0.9906166219839142,1.0
mismatch_delay,0.0,25,2039,4500,0.864,0.17494408833287364,0.31235313513985574,1.95917525662204,32.856036810504484,1.0,0.0,4.0,0.007512347979678048,0.0,0.0,0.38768529076396807,0.9674196350999131,1.0
mismatch_delay,0.04,25,2039,4500,0.7988888888888889,0.2272309826670151,0.3713080648854423,3.002706653789324,80.74696708062311,1.0,0.0,4.0,0.0075483860241042245,0.0,0.0,0.14709236031927023,0.9317984361424848,1.0
mismatch_delay,0.08,25,2039,4500,0.7313333333333333,0.2824930202710455,0.44070696097921636,4.621213451413101,115.25727141128712,1.0,0.0,4.0,0.007540013330678145,0.0,0.0,0.10832383124287344,0.814509122502172,1.0
mismatch_delay,0.12,25,2039,4500,0.5602222222222222,0.3408689346983419,0.5163112845885262,9.703763257133208,198.393477839641,1.0,0.0,4.0,0.007511331803268856,0.0,0.0,0.043329532497149374,0.5052128583840139,0.9992429977289932
negotiation_rounds,1.0,25,2039,4500,0.9704444444444444,0.17273766836471108,0.316309616297937,0.5063859628945427,2.8597070947032033,1.0,0.029555555555555557,6.0,0.00958380134155353,845.1182222222222,85.0,0.9076396807297605,0.9774109470026064,1.0
negotiation_rounds,2.0,25,2039,4500,0.9726666666666667,0.1731895996747566,0.3165928257676914,0.47556261493298513,2.8137639709862965,1.0277777777777777,0.027777777777777776,6.138888888888889,0.009981288160714839,849.8404444444444,87.36111111111111,0.9144811858608894,0.9791485664639444,1.0
negotiation_rounds,3.0,25,2039,4500,0.9726666666666667,0.1731895996747566,0.3165928257676914,0.47556261493298513,2.8137639709862965,1.055111111111111,0.05511111111111111,6.248222222222222,0.010053183572987715,854.4871111111111,89.68444444444444,0.9144811858608894,0.9791485664639444,1.0
mismatch_delay,0.0,25,2040,4500,0.896,0.15373932303225957,0.276044115835437,1.4808554442165114,17.415457863491905,1.0,0.0,4.0,0.0075368450747595895,0.0,0.0,0.5257270693512305,0.9805910895456551,1.0
mismatch_delay,0.04,25,2040,4500,0.8073333333333333,0.2109773732867208,0.33691377137907347,2.8233020344263737,73.96093625206717,1.0,0.0,4.0,0.0076130495096246404,0.0,0.0,0.14317673378076062,0.9554477282752536,1.0
mismatch_delay,0.08,25,2040,4500,0.7531111111111111,0.2733052965908229,0.40448177399406277,3.8087448636782564,95.41050220124883,1.0,0.0,4.0,0.007556389913790756,0.0,0.0,0.08277404921700224,0.8716365240405822,1.0
mismatch_delay,0.12,25,2040,4500,0.5711111111111111,0.3379774497380339,0.47703910198757493,9.412179921948473,162.88755394282296,1.0,0.0,4.0,0.007542659321592914,0.0,0.0,0.020134228187919462,0.5350683722981915,1.0
