event_id,vehicles,seed,frame,task_class,scheme,access,compute,deadline_ms,dt_update_latency_ms,tx_ms,path_ms,queue_ms,service_ms,deadline_met,dt_age_ms,position_error_m,rounds,rejections,verifier_accepted,fallback,proposal_conflict,decision_wall_ms,tool_calls,api_calls,input_tokens,output_tokens,sum_api_latency_ms
n50_s2026_e1,50,2026,25,safety,One-Shot LLM,ground,ground0,150.0,17352.282,17323.714,6.187,0.0,22.382,False,10644.391,91.316715,1,0,False,False,False,882.087,0,1,575,21,881.905
n50_s2026_e1,50,2026,25,safety,Single Domain,leo,sat0,150.0,107.714,41.014,26.39,39.191,1.119,True,107.714,0.924063,1,0,False,False,False,846.421,1,1,267,19,846.27
n50_s2026_e2,50,2026,52,cooperative,AAI-CDOS,uav,ground1,350.0,240.495,18.89,11.186,188.937,21.482,True,240.495,1.842887,1,0,True,False,False,2370.597,6,4,1830,91,4165.155
n50_s2026_e2,50,2026,52,cooperative,Independent Agents,uav,ground1,350.0,240.495,18.89,11.186,188.937,21.482,True,240.495,1.842887,1,0,False,False,True,1018.081,3,3,1040,63,2841.681
n50_s2026_e2,50,2026,52,cooperative,One-Shot LLM,ground,ground1,350.0,8536.156,8320.551,5.186,188.937,21.482,False,10767.231,82.508143,1,0,False,False,False,992.685,0,1,575,21,992.506
n50_s2026_e2,50,2026,52,cooperative,Single Domain,uav,uav2,350.0,741.146,18.89,6.186,0.0,716.07,False,10767.231,82.508143,1,0,False,False,False,856.756,1,1,267,20,856.619
n50_s2026_e3,50,2026,83,safety,AAI-CDOS,uav,ground1,150.0,178.131,19.612,11.868,125.427,21.223,False,10775.716,0.0,3,3,False,True,False,6614.899,14,12,7360,270,11895.37
n50_s2026_e3,50,2026,83,safety,Independent Agents,ground,ground1,150.0,229.778,77.258,5.868,125.427,21.223,False,10775.716,0.0,1,0,False,False,True,1139.899,3,3,1088,60,2781.376
n50_s2026_e3,50,2026,83,safety,One-Shot LLM,ground,ground1,150.0,229.778,77.258,5.868,125.427,21.223,False,10775.716,0.0,1,0,False,False,False,806.451,0,1,574,21,806.263
n50_s2026_e3,50,2026,83,safety,Single Domain,ground,ground0,150.0,244.585,77.258,5.868,140.235,21.223,False,10775.716,0.0,1,0,False,False,False,1097.167,1,1,266,19,1097.031
n50_s2026_e4,50,2026,110,cooperative,AAI-CDOS,uav,ground0,350.0,127.771,9.678,11.455,88.087,18.55,True,127.771,0.042864,1,0,True,False,False,1819.86,6,4,2116,91,3567.968
n50_s2026_e4,50,2026,110,cooperative,Independent Agents,ground,ground0,350.0,16912.43,16800.337,5.455,88.087,18.55,False,10759.978,3.609701,1,0,False,False,True,1014.52,3,3,1135,61,2863.906
n50_s2026_e4,50,2026,110,cooperative,One-Shot LLM,uav,ground0,350.0,127.771,9.678,11.455,88.087,18.55,True,127.771,0.042864,1,0,False,False,False,895.57,0,1,573,21,895.402
n50_s2026_e4,50,2026,110,cooperative,Single Domain,uav,uav4,350.0,634.48,9.678,6.455,0.0,618.347,False,10759.978,3.609701,1,0,False,False,False,758.871,1,1,265,20,758.743
n50_s2026_e5,50,2026,149,routine,AAI-CDOS,uav,ground0,1000.0,177.887,25.409,14.379,115.055,23.043,True,177.887,0.01307,1,0,True,False,False,1835.808,6,4,2261,91,3613.281
n50_s2026_e5,50,2026,149,routine,Independent Agents,uav,ground1,1000.0,176.594,25.409,14.379,113.763,23.043,True,176.594,0.012975,1,0,False,False,True,1021.928,3,3,1185,61,2735.28
n50_s2026_e5,50,2026,149,routine,One-Shot LLM,ground,ground1,1000.0,8068.857,7923.672,8.379,113.763,23.043,False,10683.424,0.784961,1,0,False,False,False,856.283,0,1,574,21,856.075
n50_s2026_e5,50,2026,149,routine,Single Domain,uav,uav3,1000.0,802.894,25.409,9.379,0.0,768.106,True,802.894,0.058992,1,0,False,False,False,1103.386,1,1,266,20,1103.229
