scheme,vehicles,seed,frames,window_start,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine
One-Shot LLM,10,2034,180,139,1800,0.8594444444444445,0.40703814658693177,4.27527724059114,1.8967305997638058,61.694401000437814,1.0,0.0,0.0,0.018268470238480303,760.0,135.0,0.6843501326259946,0.8938356164383562,0.9250457038391224
AAI-CDOS,10,2035,180,209,1800,0.9855555555555555,0.11329731796197529,0.2160020042801813,0.2665394438237507,1.8837253346930218,1.028888888888889,0.028888888888888888,6.13,0.009823657003127866,848.7066666666667,87.45555555555555,0.9346733668341709,1.0,1.0
Single Domain,10,2035,180,209,1800,0.5866666666666667,0.5912110765412083,2.053047936841153,15.251807900051942,297.580929677554,1.0,0.0,1.0,0.0015716365952458647,0.0,0.0,0.34673366834170855,0.5423728813559322,0.8471953578336557
Independent Agents,10,2035,180,209,1800,0.8155555555555556,0.20628917749072193,0.338619385042247,2.587532903340216,66.40289798466071,1.0,0.0,4.0,0.007636652379814122,0.0,0.0,0.2613065326633166,0.9570621468926553,1.0
One-Shot LLM,10,2035,180,209,1800,0.84,0.39782251374948124,3.5312171407656217,2.2531794544696457,63.54121890566448,1.0,0.0,0.0,0.018317185652752716,760.0,135.0,0.5904522613065326,0.8858757062146893,0.9535783365570599
AAI-CDOS,10,2036,180,101,1800,0.9905555555555555,0.0979244241159803,0.17474901271881543,0.1958368227767249,1.4799950538377378,1.018888888888889,0.01888888888888889,6.085,0.009794653548548618,847.0066666666667,86.60555555555555,0.9594594594594594,0.9977064220183486,1.0
Single Domain,10,2036,180,101,1800,0.46111111111111114,0.8201744999603855,2.2633429980064976,31.291025277866204,444.82012866607164,1.0,0.0,1.0,0.001622287349568473,0.0,0.0,0.2891891891891892,0.3658256880733945,0.7240143369175627
Independent Agents,10,2036,180,101,1800,0.8405555555555555,0.20431466103411772,0.306033311421072,2.265784317321124,56.95314270606632,1.0,0.0,4.0,0.007720531171394719,0.0,0.0,0.26756756756756755,0.981651376146789,1.0
One-Shot LLM,10,2036,180,101,1800,0.8738888888888889,0.40917844676968484,3.998197142408819,1.6223795622132053,30.461473459120935,1.0,0.0,0.0,0.018254632854627237,760.0,135.0,0.7,0.9013761467889908,0.946236559139785
AAI-CDOS,10,2037,180,58,1800,0.995,0.0985870232158081,0.177737790995126,0.14437120827992114,1.528107187923917,1.01,0.01,6.045,0.009746500808331702,845.4955555555556,85.85,0.9752066115702479,1.0,1.0
Single Domain,10,2037,180,58,1800,0.5005555555555555,0.7268682693520718,2.1718956562926106,24.10731815443838,383.4072828205407,1.0,0.0,1.0,0.0016169552691280842,0.0,0.0,0.29476584022038566,0.4232922732362822,0.7647058823529411
Independent Agents,10,2037,180,58,1800,0.8372222222222222,0.20435468804467014,0.30206162910328593,2.307990094564846,82.35135921248474,1.0,0.0,4.0,0.007632236099905438,0.0,0.0,0.24517906336088155,0.9787234042553191,1.0
One-Shot LLM,10,2037,180,58,1800,0.8594444444444445,0.40288254574431986,4.343518688985328,1.9143972334405266,58.04527724129517,1.0,0.0,0.0,0.018402027587095898,760.0,135.0,0.6225895316804407,0.9014557670772676,0.9485294117647058
AAI-CDOS,10,2038,180,2,1800,0.985,0.11349024218431257,0.22009144130563016,0.26678618655835135,1.7574780514975628,1.03,0.03,6.135,0.009827411267906427,848.8955555555556,87.55,0.9347826086956522,0.996606334841629,1.0
Single Domain,10,2038,180,2,1800,0.5883333333333334,0.5601564159721186,1.6155226644999077,13.721431099637543,233.64246412545216,1.0,0.0,1.0,0.0015747319493028852,0.0,0.0,0.3532608695652174,0.5361990950226244,0.8302919708029197
Independent Agents,10,2038,180,2,1800,0.8283333333333334,0.2052199061484164,0.3416940132163896,2.511914924656105,79.98673805895497,1.0,0.0,4.0,0.007657330586678452,0.0,0.0,0.266304347826087,0.9558823529411765,1.0
